"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AGO",2001,4957.59796503645571924,3010136.874299242901265
"ARG",2001,5979.94749753339770978,2294873.016127125284657
"AUS",2001,0.07592236710015192,137.3091412258484
"BDI",2001,6.22292964949001748,3315.52413634245283
"BES",2001,0.1469319746592882,63.87431752733426
"BGD",2001,384.77334921171956325,219898.263720350735444
"BHS",2001,0.28678775083984374,49.98059827986376
"BLZ",2001,1271.34564506978573297,609088.763067122061869
"BOL",2001,36529.52787798360586635,20545227.734609728815052
"BRA",2001,465542.98364393920061709,297264444.5923015480565365
"BRN",2001,256.08653660094799986,193909.635942613856763
"BTN",2001,69.41099623881293507,45337.246308159068788
"CAF",2001,3939.63629390936712234,2681659.235970982614040
"CHN",2001,867.20313471069983147,471279.889682625157297
"CIV",2001,14045.21730711865438022,6173864.210569397106550
"CMR",2001,8286.75606657633914029,5202101.432941948536894
"COD",2001,92019.98712526896944313,62623440.917647412476842
"COG",2001,7398.98975925831593440,4633561.901862657777344
"COL",2001,24081.67027605063777921,15113255.537621139629278
"CRI",2001,522.07243540316892589,304963.311503480734296
"CUB",2001,475.24672877172090670,174984.7956752552643056
"CYM",2001,2.24888464985785618,736.27588203012186
"DMA",2001,5.04974570282118142,3104.30555816977104
"DOM",2001,235.77704186081707790,105307.043640135041303
"ECU",2001,4701.19220068923243373,3197337.638659410241879
"ETH",2001,1399.27059449023215932,919174.423132393665754
"FJI",2001,12.56193164559895832,6979.923300429293345
"GAB",2001,5117.83666954909775845,3220756.957733131079119
"GHA",2001,1699.57326382970040801,798498.783792680008850
"GIN",2001,287.97542793233332670,145188.77491496323288
"GLP",2001,3.1064585997998048,1707.59088631685473
"GNB",2001,8.52683887830675022,2348.346809457674287
"GNQ",2001,603.18416413092932878,380923.868209570620599
"GTM",2001,3978.86653208111363855,2110581.024008689116808
"GUF",2001,901.77611951122811802,728833.530810723961263
"GUY",2001,1834.78657925390596413,1263165.886703709627103
"HND",2001,4747.46372050828612047,2654030.715186160502107
"HTI",2001,9.89033936289062616,4980.339843142967416
"IDN",2001,114393.78862800686768238,109423726.1081379582819592
"IND",2001,5541.94205918916068962,3309328.936374877997919
"JAM",2001,89.57468488645834245,51465.93972089175300
"KEN",2001,2390.69343360199037384,1378907.952852492900601
"KHM",2001,8908.21938988077568457,5137437.168684629929449
"KNA",2001,1.98641194428059914,1030.40097724299060
"LAO",2001,10263.04417050625681305,6019405.618589430585223
"LBR",2001,2080.51122607954625337,1063015.893826287172203
"LCA",2001,1.04632296464463969,634.37470836223679
"LKA",2001,115.75726964476183031,48132.600357014664835
"MAF",2001,0.43937747833441842,179.97062979078559
"MDG",2001,21193.78309873169555558,11507892.312540163655932
"MDV",2001,0.07640892191650392,0.0
"MEX",2001,8045.03618630628694060,4041906.350816892871990
"MMR",2001,9308.13783060655971610,5393443.8515486781267724
"MOZ",2001,47.94843722824815170,24038.401008849145036
"MSR",2001,0.44252670263237849,255.24184463096018
"MTQ",2001,1.56420304559570317,864.38734643741250
"MWI",2001,2.52992412338650189,1398.230653341933846
"MYS",2001,24068.03917452008198233,19542444.518879000877378
"NGA",2001,3494.91524358786885245,1373019.305312293446862
"NIC",2001,1853.38217201431303284,1077841.586618687524115
"NPL",2001,59.36401164300781146,36238.073241084050960
"PAN",2001,1186.93557742903161317,740647.068138258937251
"PER",2001,28698.56957434498855853,19332895.472571774921703
"PHL",2001,1655.13987553336498082,1095508.0364661378127955
"PLW",2001,7.32442884702067100,5925.166010316396717
"PNG",2001,10238.09836848999892176,8601368.185096323113128
"PRI",2001,29.02792696137044514,17132.30739487476576
"PRY",2001,13533.82066291599329789,5184165.873513886484169
"RWA",2001,10.68536000877258379,6821.205254808380759
"SLB",2001,745.63212844315787530,594630.625998017081704
"SLE",2001,266.80736959211373678,136650.277415755740058
"SLV",2001,11.15520183661349867,6754.21714894012555
"SSD",2001,10.96986719427476790,6423.782994699783898
"SUR",2001,1144.89727470248815939,929306.677378015380355
"SXM",2001,0.07323942758246528,36.51084032452825
"TCA",2001,0.5720265906803386,111.53217770959601
"TGO",2001,2.44437867068060983,764.61942800314037
"THA",2001,2035.38622469285299553,1217391.776716226712339
"TTO",2001,83.47129334891381326,69845.420118343754524
"TWN",2001,62.83498421080403851,38217.726250368399190
"TZA",2001,1579.14805585026724214,944793.866206696740652
"UGA",2001,3741.81969841821326510,1866285.112156223074344
"USA",2001,33.53702004034620171,13488.019383277314054
"VCT",2001,0.07495259433865017,38.506524787273676
"VEN",2001,10437.98148901120714941,6795350.219309889443373
"VGB",2001,0.87699250704644096,365.87296663540973
"VIR",2001,0.43871009726454,215.31997672997282
"VNM",2001,12002.35246405736875372,6725628.623550852160924
"VUT",2001,17.42882615772244123,10705.19611597420784
"ZAF",2001,54.06534504158854717,26540.436013660637545
"ZMB",2001,91.93893608351074588,44871.36495948991784
"ZWE",2001,8.99398214801649402,4715.17975933037449
"AGO",2002,3499.63627299536794877,2042360.525287185467901
"ARG",2002,9316.61364012000768921,3439307.631887624650838
"AUS",2002,0.60741974119194880,297.713386874904920
"BDI",2002,3.91871376533284548,2298.55907249228656
"BEN",2002,0.22913985083577476,69.33651619762686
"BGD",2002,619.40670645362154069,359589.87626136148185
"BHS",2002,0.21357198816189237,38.497771091279087
"BLZ",2002,5573.86964100060557465,2842343.470058832231455
"BOL",2002,70601.35638328282201155,37435735.188685655352157
"BRA",2002,1621765.13492838881980749,970755429.2714390744973251
