Year,Region,Area_Deforested
2001,AGO,4957.597965036456
2001,ARG,5979.947497533398
2001,AUS,0.075922367100151
2001,BDI,6.222929649490018
2001,BES,0.146931974659288
2001,BGD,384.77334921171956
2001,BHS,0.28678775083984304
2001,BLZ,1271.3456450697856
2001,BRN,256.086536600948
2001,BTN,69.41099623881294
2001,CAF,3939.636293909367
2001,CHN,867.2031347106998
2001,CIV,14045.217307118653
2001,CMR,8286.75606657634
2001,COG,7398.989759258316
2001,COL,24081.670276050638
2001,CRI,522.0724354031689
2001,CUB,475.2467287717209
2001,CYM,2.248884649857856
2001,DMA,5.049745702821181
2001,DOM,235.77704186081706
2001,ECU,4701.192200689233
2001,ETH,1399.2705944902323
2001,FJI,12.561931645598959
2001,GAB,5117.836669549098
2001,GHA,1699.5732638297004
2001,GIN,287.97542793233333
2001,GLP,3.106458599799805
2001,GNB,8.52683887830675
2001,GNQ,603.1841641309293
2001,GTM,3978.8665320811137
2001,GUF,901.7761195112281
2001,GUY,1834.786579253906
2001,HND,4747.463720508286
2001,HTI,9.890339362890627
2001,IND,5541.94205918916
2001,JAM,89.57468488645834
2001,KEN,2390.6934336019904
2001,KHM,8908.219389880776
2001,KNA,1.986411944280599
2001,LAO,10263.044170506257
2001,LBR,2080.5112260795463
2001,LCA,1.046322964644639
2001,LKA,115.75726964476183
2001,MAF,0.43937747833441804
2001,MDG,21193.783098731696
2001,MDV,0.076408921916503
2001,MEX,8045.036186306287
2001,MMR,9308.13783060656
2001,MOZ,47.94843722824815
2001,MSR,0.44252670263237803
2001,MTQ,1.564203045595703
2001,MWI,2.5299241233865013
2001,MYS,24068.039174520083
2001,NGA,3494.9152435878686
2001,NIC,1853.382172014313
2001,NPL,59.364011643007814
2001,PAN,1186.9355774290316
2001,PER,28698.569574344987
2001,PHL,1655.139875533365
2001,PLW,7.324428847020671
2001,PNG,10238.098368489998
2001,PRI,29.027926961370444
2001,PRY,13533.820662915994
2001,RWA,10.685360008772584
2001,SLB,745.6321284431579
2001,SLE,266.80736959211373
2001,SLV,11.155201836613498
2001,SSD,10.969867194274768
2001,SUR,1144.8972747024882
2001,SXM,0.073239427582465
2001,TCA,0.572026590680338
2001,TGO,2.444378670680609
2001,THA,2035.386224692853
2001,TTO,83.47129334891382
2001,TWN,62.83498421080404
2001,TZA,1579.1480558502672
2001,UGA,3741.819698418213
2001,USA,33.5370200403462
2001,VCT,0.07495259433865001
2001,VEN,10437.981489011207
2001,VGB,0.87699250704644
2001,VIR,0.43871009726454
2001,VNM,12002.352464057369
2001,VUT,17.42882615772244
2001,ZAF,54.06534504158855
2001,ZMB,91.93893608351074
2001,ZWE,8.993982148016494
2002,AGO,3499.636272995368
2002,ARG,9316.613640120007
