Decade,Temperature
1880,-0.21713933753079662
1890,-0.2421659364731654
1900,-0.32085980284775467
1910,-0.3331106243154436
1920,-0.2401450862304955
1930,-0.12251916757940855
1940,0.04272926361894334
1950,-0.04795728368017525
1960,-0.030021899808376676
1970,0.03423877327491785
1980,0.24597317273473857
1990,0.3835542168674699
2000,0.587673145359978
2010,0.8059611171960569
2020,1.0402900930487138
